idurl,url,dia,mes,ano
946,www.infomoney.com.br/colunistas/felippe-hermes/com-10-greves-em-9-anos-os-correios-seguem-perdendo-relevancia/,20,ago,2020
949,www.infomoney.com.br/mercados/parceria-com-petrobras-alavanca-microsoft-no-setor-petrolifero/,20,ago,2020
960,www.infomoney.com.br/mercados/petrobras-anuncia-altas-de-6-para-gasolina-e-de-5-para-o-diesel/,20,ago,2020
999,www.infomoney.com.br/mercados/acoes-da-ultrapar-saltam-com-acordo-de-acionistas-siderurgicas-tem-nova-alta-com-possivel-aumento-de-precos/,19,ago,2020
1032,www.infomoney.com.br/mercados/acordo-de-compra-da-linx-pela-stone-preve-multa-de-r-30-mi-a-fundadores-credit-recomenda-venda-para-acao-da-cogna-e-mais/,19,ago,2020
1036,www.infomoney.com.br/politica/policia-federal-deflagra-72a-fase-da-lava-jato-e-cumpre-2-mandados-de-prisao-temporaria/,19,ago,2020
1044,www.infomoney.com.br/mercados/ibovespa-sobe-25-e-tem-maior-alta-desde-8-de-junho-em-meio-a-apoio-de-bolsonaro-a-guedes-dolar-cai-a-r-546/,18,ago,2020
1045,www.infomoney.com.br/mercados/acoes-do-magazine-luiza-saltam-ate-6-apos-resultado-surpreendente-vale-e-siderurgicas-avancam-com-forte-alta-do-minerio/,18,ago,2020
1059,www.infomoney.com.br/mercados/titulos-de-credito-privado-retomam-nivel-pre-crise-especialistas-apontam-onde-estao-as-oportunidades/,18,ago,2020
1069,www.infomoney.com.br/mercados/ibovespa-sobe-e-dolar-cai-depois-de-bolsonaro-assegurar-apoio-a-guedes-e-teto-de-gastos/,18,ago,2020
1075,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-apos-bolsonaro-reforcar-apoio-a-paulo-guedes-e-ao-teto-de-gastos-dolar-futuro-cai-1/,18,ago,2020
1076,www.infomoney.com.br/mercados/balanco-do-magalu-surpreende-mais-uma-vez-oi-pode-captar-r-2-bi-totvs-ameaca-ir-a-justica-por-proposta-pela-linx-e-mais/,18,ago,2020
1078,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-terca-feira-180820/,18,ago,2020
1113,www.infomoney.com.br/mercados/acao-da-eztec-sobe-forte-com-recomendacao-e-pedido-de-ipo-de-subsidiaria-frigorificos-avancam/,17,ago,2020
1126,www.infomoney.com.br/mercados/petrobras-avanca-na-venda-de-termeletricas-resultados-de-cemig-pdg-profarma-e-d1000-e-mais-destaques/,17,ago,2020
1169,www.infomoney.com.br/economia/bndes-registra-prejuizo-contabil-de-r-582-milhoes-no-2o-trimestre/,14,ago,2020
1170,www.infomoney.com.br/colunistas/felippe-hermes/o-brasil-segue-sem-perder-a-oportunidade-de-perder-uma-oportunidade/,14,ago,2020
1197,www.infomoney.com.br/mercados/acoes-da-marfrig-saltam-ate-10-via-varejo-dispara-e-brf-cai-forte-apos-balancos-veja-mais-destaques/,13,ago,2020
1198,www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-16-e-volta-aos-100-mil-pontos-com-preocupacoes-pela-area-fiscal-dolar-cai-a-r-536/,13,ago,2020
1205,www.infomoney.com.br/mercados/aie-eleva-projecao-para-demanda-por-petroleo-pelo-brasil-em-2021/,13,ago,2020
1224,www.infomoney.com.br/mercados/ibovespa-sobe-apos-surpresa-com-dado-americano-mas-preocupacao-com-ambiente-fiscal-segue-no-radar-dolar-cai/,13,ago,2020
1251,www.infomoney.com.br/mercados/acoes-da-eletrobras-caem-mais-de-3-apos-saida-de-secretario-de-desestatizacao-e-aereas-tem-nova-alta-petrobras-e-vale-avancam-2/,12,ago,2020
1253,www.infomoney.com.br/mercados/petrobras-confirma-alta-de-2-no-diesel-e-de-4-na-gasolina-a-partir-do-dia-13/,12,ago,2020
1281,www.infomoney.com.br/mercados/lucros-da-br-distribuidora-e-rd-caem-prejuizo-da-gafisa-sobe-85-no-2o-tri-acordo-para-unir-linx-stone/,12,ago,2020
1296,www.infomoney.com.br/politica/o-rebranding-da-lava-jato-no-governo-bolsonaro/,11,ago,2020
1297,www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-12-com-incertezas-a-respeito-do-rombo-fiscal-e-de-um-tratamento-para-a-covid-19/,11,ago,2020
1326,www.infomoney.com.br/mercados/acoes-da-cosan-caem-e-da-sao-martinho-sobem-forte-apos-resultados-petrobras-avanca-seguindo-alta-do-petroleo/,11,ago,2020
1327,www.infomoney.com.br/onde-investir/bradesco-cria-ranking-ambiental-de-empresas/,11,ago,2020
1329,www.infomoney.com.br/mercados/ibovespa-sobe-com-falas-de-trump-e-expectativa-por-estimulos-dolar-cai-e-dis-sobem-refletindo-ata-do-copom/,11,ago,2020
1332,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-falas-de-trump-e-atencao-a-estimulos-e-ata-do-copom-dolar-cai/,11,ago,2020
1335,www.infomoney.com.br/mercados/cosan-tem-prejuizo-de-r-1744-mi-no-2o-tri-e-outros-balancos-noticiario-de-petrobras-adr-da-embraer-rebaixado-por-morgan-e-mais/,11,ago,2020
1339,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-terca-feira-110820/,11,ago,2020
1342,www.infomoney.com.br/mercados/petrobras-efetua-pagamento-para-encerrar-litigio-com-petros-sobre-sete-brasil/,10,ago,2020
1351,www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-de-065-impulsionado-por-possibilidade-de-acordo-para-estimulos-nos-eua-dolar-sobe-a-r-546/,10,ago,2020
1377,www.infomoney.com.br/mercados/acoes-da-braskem-sobem-forte-com-odebrecht-iniciando-processo-de-venda-tim-e-vivo-avancam-com-exclusividade-por-oi-movel/,10,ago,2020
1379,www.infomoney.com.br/mercados/ibovespa-sobe-apos-mini-pacote-de-estimulos-de-trump-e-em-meio-a-noticiario-politico-dolar-cai/,10,ago,2020
1384,www.infomoney.com.br/mercados/ibovespa-futuro-opera-entre-perdas-e-ganhos-com-investidores-atentos-a-medidas-de-trump-e-falas-de-maia/,10,ago,2020
1388,www.infomoney.com.br/mercados/vivo-tim-claro-com-exclusividade-pela-oi-movel-odebrecht-comeca-processo-para-venda-da-braskem-estreias-na-b3-e-mais/,10,ago,2020
1390,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-segunda-feira-070820/,10,ago,2020
1392,https://www.infomoney.com.br/stock-pickers/spx-velt-dahlia-um-resumo-das-cartas-e-calls-das-gestoras-em-agosto/,9,ago,2020
1424,www.infomoney.com.br/mercados/mercado-livre-ultrapassa-a-vale-e-se-torna-a-empresa-mais-valiosa-da-america-latina-confira-ranking/,7,ago,2020
1434,www.infomoney.com.br/mercados/acoes-de-petrobras-e-vale-caem-com-commodities-e-tensao-eua-china-bancos-tem-queda-apos-votacao-no-senado/,7,ago,2020
1446,www.infomoney.com.br/mercados/multiplan-tem-queda-de-38-do-lucro-tenda-lucra-45-menos-e-mais-resultados-ipos-e-outros-destaques-no-radar/,7,ago,2020
1480,www.infomoney.com.br/mercados/os-melhores-fundos-de-acoes-e-multimercados-em-julho-e-em-12-meses/,6,ago,2020
1512,www.infomoney.com.br/mercados/ibovespa-fecha-em-alta-de-16-puxado-por-petrobras-e-com-exterior-mais-tranquilo-dolar-sobe-antes-do-copom/,5,ago,2020
1513,www.infomoney.com.br/mercados/acoes-da-petrobras-saltam-mais-de-5-seguindo-petroleo-gerdau-e-iguatemi-sobem-forte-enquanto-embraer-cai-apos-resultados/,5,ago,2020
1537,www.infomoney.com.br/mercados/ibovespa-sobe-em-meio-a-expectativas-por-copom-e-estimulos-nos-eua-dolar-cai-a-r-527/,5,ago,2020
1543,www.infomoney.com.br/mercados/ibovespa-futuro-sobe-apesar-de-dado-de-emprego-ruim-nos-eua-com-investidores-aguardando-estimulos-no-pais/,5,ago,2020
1548,www.infomoney.com.br/mercados/embraer-tem-prejuizo-ajustado-de-r-107-bi-klabin-reverte-lucro-e-mais-resultados-nova-aquisicao-da-notre-dame-e-outras-noticias/,5,ago,2020
1549,www.infomoney.com.br/mercados/os-5-assuntos-que-vao-movimentar-o-mercado-nesta-quarta-feira-050820/,5,ago,2020
1550,www.infomoney.com.br/mercados/bndes-aproveita-recuperacao-da-bolsa-para-vender-r-81-bilhoes-em-acoes-da-vale/,5,ago,2020
1552,www.infomoney.com.br/mercados/petrobras-justica-extingue-acao-da-previ-que-pedia-hipoteca-de-imoveis/,5,ago,2020
1559,www.infomoney.com.br/mercados/acoes-do-itau-caem-mais-de-3-com-resultado-oi-tem-nova-baixa-apos-fim-de-exclusividade-da-highline-e-petrobras-cai-seguindo-petroleo/,4,ago,2020
1573,www.infomoney.com.br/onde-investir/as-acoes-mais-recomendadas-pelos-analistas-para-comprar-em-agosto/,4,ago,2020
1575,www.infomoney.com.br/mercados/bndes-faz-desinvestimento-bilionario-na-vale-e-acoes-ficam-em-leilao-por-quase-duas-horas/,4,ago,2020
